IncLevel1	IncLevel2	IncLevelDifference
1.0,0.931,1.0,0.906,0.923,1.0	1.0,1.0,1.0,1.0,0.983,1.0	-0.037
0.053,0.014,0.023,0.007,0.04,0.021	0.029,0.023,0.009,0.03,0.013,0.034	0.003
0.181,0.2,0.211,0.136,0.183,0.185	0.128,0.085,0.138,0.196,0.077,0.193	0.047
0.162,0.167,0.178,0.137,0.155,0.145	0.117,0.085,0.127,0.216,0.084,0.171	0.024
0.396,0.223,0.283,0.612,0.228,0.191	0.441,0.542,0.441,0.825,0.798,0.345	-0.243
0.048,0.059,0.075,0.077,0.042,0.054	0.125,0.124,0.127,0.099,0.132,0.182	-0.072
1.0,1.0,0.974,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
0.745,0.827,0.919,0.891,0.897,0.931	0.894,0.895,0.978,0.966,0.983,0.956	-0.077
0.668,0.688,0.602,0.699,0.777,0.634	0.584,0.58,0.773,0.749,0.72,0.898	-0.039
0.493,0.394,0.493,0.637,0.405,0.493	0.83,0.717,0.719,0.82,0.703,1.0	-0.312
0.556,0.397,0.568,0.273,0.434,0.212	0.18,0.149,0.127,0.081,0.119,0.26	0.254
0.934,0.893,0.943,0.896,0.806,0.867	0.856,0.885,1.0,0.943,1.0,1.0	-0.058
0.932,0.907,0.942,0.914,0.829,0.909	0.894,0.917,1.0,0.96,1.0,1.0	-0.056
1.0,1.0,1.0,1.0,1.0,0.914	1.0,1.0,1.0,1.0,0.943,1.0	-0.005
0.007,0.01,0.006,0.016,0.028,0.042	0.037,0.021,0.032,0.03,0.011,0.071	-0.016
0.235,0.233,0.183,0.155,0.137,0.172	0.103,0.136,0.177,0.18,0.167,0.193	0.026
0.0,0.0,0.0,0.0,0.02,0.0	0.0,0.046,0.033,0.0,0.025,0.0	-0.014
0.0,0.117,0.21,1.0,0.21,0.614	0.0,0.761,0.443,0.614,0.666,0.0	-0.055
0.0,0.0,0.0,0.012,0.003,0.009	0.005,0.008,0.012,0.013,0.012,0.0	-0.004
0.76,0.748,0.736,0.736,0.648,0.712	0.652,0.749,0.631,0.75,0.639,0.639	0.047
0.953,0.987,0.976,0.982,0.966,0.982	0.886,0.936,0.988,0.931,0.95,0.91	0.041
0.621,0.578,0.708,0.539,0.577,0.658	0.484,0.551,0.449,0.529,0.573,0.536	0.093
0.0,1.0,NA,NA,1.0,NA	1.0,1.0,NA,1.0,NA,1.0	-0.333
0.0,0.293,NA,0.293,0.0,0.0	0.0,NA,0.216,NA,NA,NA	0.009
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.995	0.001
0.737,0.883,0.751,0.903,0.868,0.855	0.964,0.933,0.937,0.911,0.92,0.97	-0.106
0.022,0.053,0.013,0.029,0.039,0.012	0.01,0.013,0.006,0.0,0.031,0.031	0.013
0.046,0.09,0.067,0.075,0.051,0.085	0.066,0.066,0.0,0.018,0.048,0.046	0.028
0.003,0.005,0.034,0.013,0.007,0.005	0.004,0.008,0.007,0.015,0.008,0.008	0.003
0.014,0.009,0.0,0.026,0.02,0.009	0.028,0.041,0.018,0.011,0.0,0.0	-0.003
1.0,1.0,0.38,1.0,0.741,1.0	0.417,0.264,0.589,0.741,0.264,0.264	0.43
0.006,0.003,0.007,0.003,0.005,0.005	0.002,0.005,0.003,0.01,0.007,0.002	0.0
1.0,1.0,0.688,1.0,1.0,1.0	1.0,1.0,1.0,0.705,1.0,1.0	-0.003
0.973,0.963,0.963,0.979,0.986,0.983	0.972,0.952,0.967,0.972,0.938,0.957	0.015
0.553,0.527,0.553,0.491,0.492,0.522	0.681,0.633,0.676,0.699,0.695,0.747	-0.165
0.024,0.0,0.0,0.0,0.0,0.0	0.0,0.05,0.082,0.0,0.065,0.0	-0.029
1.0,0.456,1.0,1.0,0.807,0.0	1.0,0.095,0.386,1.0,0.456,NA	0.123
1.0,0.471,1.0,1.0,0.835,0.546	1.0,0.167,0.595,1.0,0.667,1.0	0.071
0.748,0.459,0.629,0.389,0.7,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.346
1.0,1.0,1.0,0.733,0.91,1.0	1.0,0.892,0.88,0.604,0.928,0.865	0.079
0.011,0.041,0.034,0.045,0.072,0.054	0.205,0.141,0.24,0.211,0.131,0.189	-0.143
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.081,0.0,0.0	-0.013
0.728,0.525,0.661,0.661,0.646,0.585	0.307,0.378,0.289,0.114,0.327,0.0	0.398
0.035,0.058,0.036,0.034,0.031,0.026	0.063,0.128,0.018,0.05,0.017,0.0	-0.009
0.151,0.154,0.184,0.225,0.149,0.168	0.012,0.028,0.021,0.042,0.038,0.027	0.144
0.67,0.597,0.722,0.646,0.604,0.575	0.454,0.483,0.51,0.444,0.36,0.399	0.194
0.037,0.026,0.0,0.007,0.019,0.012	0.018,0.007,0.046,0.033,0.028,0.048	-0.013
0.873,0.89,0.897,0.806,0.866,0.94	0.901,0.753,0.789,0.819,0.798,0.734	0.08
0.46,1.0,1.0,0.46,1.0,0.46	NA,NA,1.0,1.0,1.0,1.0	-0.27
0.0,0.0,0.0,NA,0.0,0.09	0.0,0.0,0.0,0.0,0.199,NA	-0.022
1.0,1.0,1.0,1.0,0.378,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.104
0.0,0.541,0.261,0.673,0.296,0.825	0.0,NA,0.639,0.371,0.191,0.0	0.192
0.0,0.0,0.1,0.0,0.151,0.181	0.0,0.0,0.0,0.0,0.0,0.0	0.072
0.123,0.246,0.255,0.208,0.339,0.12	0.357,0.193,0.222,0.146,0.263,0.12	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
0.004,0.001,0.004,0.004,0.003,0.002	0.003,0.004,0.001,0.002,0.002,0.0	0.001
0.0,0.045,0.014,0.09,0.034,0.0	0.0,0.0,0.0,0.026,0.0,0.032	0.021
0.722,0.802,0.705,0.643,0.78,0.736	0.637,0.651,0.641,0.745,0.729,0.677	0.051
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
0.117,0.154,0.187,0.18,0.227,0.124	0.158,0.094,0.222,0.138,0.203,0.111	0.011
0.982,0.993,0.973,1.0,1.0,1.0	1.0,0.988,1.0,0.991,0.994,0.986	-0.002
0.083,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.014
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.001,0.0	-0.0
0.082,0.123,0.109,0.238,0.052,0.197	0.07,0.068,0.0,0.036,0.098,0.179	0.058
0.946,1.0,0.983,1.0,0.985,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.014
1.0,1.0,1.0,0.968,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
0.0,0.0,0.002,0.0,0.0,0.0	0.0,0.003,0.0,0.002,0.001,0.0	-0.001
0.062,0.025,0.0,0.064,0.024,0.058	0.011,0.05,0.091,0.017,0.041,0.085	-0.01
0.887,0.746,0.746,NA,1.0,1.0	0.0,0.0,0.0,0.0,0.098,0.329	0.805
0.662,1.0,0.44,1.0,0.0,1.0	0.0,0.0,0.0,0.164,0.164,0.0	0.629
0.217,0.563,0.667,0.866,0.716,0.899	0.705,0.876,0.665,0.724,0.639,0.871	-0.092
0.942,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.01
0.772,0.951,0.906,0.919,0.874,0.792	0.937,0.922,0.969,0.955,0.951,1.0	-0.087
0.012,0.006,0.008,0.002,0.011,0.008	0.006,0.006,0.008,0.006,0.013,0.015	-0.001
0.0,0.021,0.0,0.006,0.0,0.0	0.0,0.0,0.012,0.007,0.003,0.0	0.001
0.816,0.544,0.58,0.537,0.643,0.71	0.306,0.929,0.582,0.724,0.517,1.0	-0.038
0.423,0.255,0.688,0.452,0.386,0.404	0.391,0.423,0.423,1.0,0.355,0.095	-0.013
0.907,0.714,0.85,1.0,0.778,1.0	0.894,0.792,1.0,0.95,1.0,0.838	-0.037
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.824	0.029
1.0,0.89,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.018
0.821,0.747,0.724,0.713,0.878,0.811	0.647,0.597,0.707,0.666,0.676,0.7	0.117
1.0,1.0,0.745,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.042
0.463,0.683,0.618,0.265,0.502,0.627	0.495,0.671,0.706,0.764,0.379,0.365	-0.037
0.02,0.004,0.005,0.015,0.01,0.012	0.011,0.031,0.013,0.015,0.011,0.018	-0.005
0.004,0.003,0.0,0.002,0.001,0.0	0.0,0.004,0.0,0.002,0.0,0.002	0.0
0.0,0.008,0.002,0.0,0.0,0.0	0.002,0.0,0.008,0.002,0.002,0.0	-0.001
1.0,1.0,1.0,0.97,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.007,0.0,0.0,0.0,0.0	-0.001
0.969,1.0,0.947,1.0,0.966,1.0	0.914,0.954,1.0,1.0,1.0,1.0	0.002
1.0,0.907,1.0,1.0,1.0,1.0	1.0,1.0,0.76,1.0,0.933,1.0	0.036
0.208,0.191,0.067,0.171,0.235,0.142	0.383,0.805,0.482,0.379,0.328,0.58	-0.324
0.099,0.257,0.034,0.091,0.13,0.0	0.287,0.617,0.377,0.337,0.204,0.518	-0.288
0.162,0.795,0.0,0.326,0.139,0.0	0.326,0.088,0.195,0.436,0.279,0.367	-0.045
0.071,0.0,0.0,0.0,0.025,0.0	0.0,0.181,0.138,0.066,0.092,0.0	-0.064
0.761,0.748,0.625,0.68,0.748,0.718	0.792,0.794,0.761,0.921,0.821,0.905	-0.119
0.079,0.068,0.099,0.064,0.053,0.061	0.061,0.058,0.0,0.012,0.031,0.045	0.036
0.134,0.142,0.099,0.091,0.116,0.179	0.096,0.132,0.059,0.095,0.115,0.082	0.03
NA,1.0,0.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.594,1.0	-0.132
0.93,0.956,0.969,0.959,0.964,0.937	0.983,1.0,1.0,1.0,0.995,1.0	-0.044
0.0,0.005,0.001,0.0,0.001,0.0	0.002,0.001,0.0,0.003,0.001,0.0	0.0
0.005,0.0,0.002,0.0,0.0,0.005	0.002,0.013,0.003,0.0,0.004,0.0	-0.002
0.455,0.703,0.385,0.582,0.437,0.758	0.644,0.625,0.625,0.79,0.294,1.0	-0.11
1.0,1.0,1.0,1.0,1.0,0.897	1.0,1.0,1.0,1.0,1.0,1.0	-0.017
0.03,0.054,0.026,0.046,0.031,0.018	0.02,0.066,0.023,0.015,0.046,0.049	-0.002
0.685,0.787,0.73,0.758,0.805,0.741	0.797,0.666,0.703,0.788,0.52,0.696	0.056
0.037,0.072,0.084,0.054,0.008,0.079	0.03,0.024,0.069,0.054,0.026,0.051	0.013
0.996,0.992,0.997,0.992,0.994,0.996	0.997,0.979,0.996,0.997,0.993,0.993	0.002
0.509,0.54,0.5,0.511,0.515,0.533	0.806,0.818,0.782,0.822,0.76,0.766	-0.274
0.905,0.876,0.875,0.89,0.941,0.927	0.904,1.0,0.88,1.0,0.773,1.0	-0.024
NA,1.0,0.0,0.485,0.0,0.485	0.654,0.0,1.0,0.32,1.0,0.485	-0.183
0.464,0.503,0.644,0.591,0.527,0.572	1.0,1.0,1.0,0.956,1.0,1.0	-0.442
1.0,1.0,1.0,1.0,0.895,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.018
0.842,0.716,0.906,0.744,0.86,0.617	0.563,0.829,0.853,0.871,1.0,1.0	-0.072
0.982,0.944,0.912,0.859,0.955,0.943	0.921,0.872,0.857,0.836,0.843,0.937	0.055
0.415,0.101,0.175,0.196,0.347,0.221	0.351,0.31,0.347,0.256,0.587,0.327	-0.12
NA,0.0,0.0,NA,NA,NA	0.0,0.0,NA,0.0,0.709,NA	-0.177
0.0,0.012,0.0,0.0,0.0,0.0	0.0,0.011,0.0,0.0,0.038,0.0	-0.006
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.085,0.0,0.0,0.0,0.0	-0.014
0.685,0.583,0.284,0.693,0.61,0.492	1.0,1.0,0.886,1.0,0.786,0.795	-0.353
0.952,0.982,0.931,0.943,0.973,1.0	0.991,1.0,1.0,0.976,0.993,0.981	-0.027
0.129,0.017,0.03,0.023,0.021,0.01	0.011,0.0,0.0,0.068,0.038,0.0	0.019
1.0,1.0,0.972,1.0,1.0,0.915	1.0,1.0,1.0,1.0,1.0,1.0	-0.019
0.251,0.227,0.139,0.227,0.594,0.218	0.112,0.193,0.068,0.287,0.116,0.122	0.126
NA,NA,NA,NA,1.0,NA	0.325,NA,0.0,0.0,0.0,0.325	0.87
0.271,0.305,0.221,0.291,0.245,0.278	0.278,0.202,0.317,0.305,0.284,0.364	-0.023
0.155,0.268,0.409,0.294,0.168,0.339	0.137,0.035,0.065,0.245,0.162,0.259	0.122
1.0,1.0,0.932,1.0,0.911,0.836	1.0,1.0,1.0,1.0,1.0,1.0	-0.053
0.005,0.01,0.01,0.004,0.017,0.006	0.008,0.0,0.008,0.006,0.002,0.011	0.003
0.628,0.659,0.505,0.547,0.643,0.625	0.57,0.536,0.606,0.479,0.597,0.614	0.034
0.0,NA,0.0,NA,0.0,0.0	1.0,0.0,0.0,0.0,0.0,0.0	-0.167
0.377,1.0,1.0,1.0,0.0,0.232	0.0,1.0,NA,0.132,1.0,NA	0.069
0.009,0.014,0.004,0.008,0.005,0.007	0.0,0.0,0.0,0.0,0.002,0.0	0.007
0.593,0.626,0.708,0.593,0.603,0.646	0.621,1.0,0.785,0.497,0.718,1.0	-0.142
0.125,0.111,0.105,0.093,0.045,0.132	0.195,0.142,0.131,0.327,0.28,0.154	-0.103
0.845,0.891,0.909,0.871,0.893,0.88	0.83,1.0,0.952,0.715,0.845,1.0	-0.009
0.794,0.76,0.697,0.837,0.652,0.631	0.89,0.729,0.838,0.906,0.911,1.0	-0.15
0.655,0.568,0.709,0.56,0.491,0.642	0.595,0.782,0.625,0.681,0.574,0.473	-0.017
1.0,0.915,0.968,0.949,0.969,0.904	1.0,1.0,0.76,0.889,0.835,0.682	0.09
0.318,0.554,0.363,0.364,0.311,0.232	0.841,0.271,0.521,0.389,0.431,1.0	-0.218
0.069,0.077,0.056,0.081,0.043,0.032	0.039,0.038,0.062,0.065,0.058,0.064	0.005
0.008,0.005,0.0,0.039,0.021,0.012	0.007,0.0,0.02,0.0,0.028,0.017	0.002
0.614,0.521,0.591,0.544,0.595,0.493	0.566,0.77,0.663,0.71,0.594,0.69	-0.106
1.0,0.963,0.977,1.0,0.933,0.908	1.0,0.969,1.0,1.0,1.0,1.0	-0.031
NA,NA,0.0,0.0,NA,NA	NA,NA,NA,0.345,NA,NA	-0.345
1.0,1.0,0.911,1.0,1.0,1.0	1.0,0.831,1.0,1.0,1.0,1.0	0.013
0.689,0.897,1.0,1.0,0.797,1.0	0.86,1.0,1.0,1.0,0.928,1.0	-0.068
0.03,0.014,0.01,0.01,0.014,0.008	0.009,0.0,0.0,0.014,0.013,0.027	0.004
1.0,1.0,0.936,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
0.841,0.939,0.947,0.949,1.0,0.957	0.896,1.0,1.0,0.894,1.0,1.0	-0.026
0.61,0.493,0.559,0.558,0.593,0.529	0.488,0.467,0.506,0.384,0.547,0.495	0.076
0.022,0.139,0.098,0.134,0.092,0.091	0.134,0.185,0.125,0.036,0.061,0.0	0.006
0.536,0.529,0.726,0.468,1.0,0.306	0.355,0.498,0.142,0.366,0.421,0.099	0.281
0.04,0.009,0.0,0.032,0.01,0.021	0.019,0.138,0.034,0.068,0.051,0.085	-0.047
1.0,1.0,1.0,0.806,1.0,1.0	1.0,0.816,0.847,0.624,0.795,0.526	0.2
0.021,0.01,0.017,0.01,0.009,0.015	0.013,0.019,0.013,0.02,0.014,0.027	-0.004
0.034,0.039,0.025,0.03,0.03,0.038	0.017,0.068,0.013,0.045,0.032,0.056	-0.006
0.813,0.781,0.91,0.744,0.74,0.78	0.7,0.759,0.654,0.627,0.702,0.694	0.105
0.129,0.087,0.087,0.099,0.108,0.099	0.063,0.105,0.07,0.086,0.078,0.107	0.017
0.016,0.009,0.013,0.011,0.011,0.007	0.008,0.017,0.015,0.016,0.012,0.024	-0.004
1.0,1.0,1.0,1.0,1.0,1.0	0.978,1.0,1.0,1.0,0.964,1.0	0.01
0.471,0.46,0.609,0.571,0.453,0.451	0.386,0.336,0.366,0.349,0.364,0.295	0.153
0.968,1.0,1.0,1.0,1.0,1.0	1.0,0.896,0.95,0.967,0.967,0.953	0.039
0.349,0.453,0.324,0.406,0.553,0.382	0.384,0.671,0.384,0.339,0.218,0.149	0.054
0.754,0.694,0.786,0.791,0.781,0.635	0.415,0.624,0.623,0.556,0.472,0.748	0.167
0.513,0.556,0.547,0.511,0.605,0.588	0.592,0.555,0.565,0.594,0.533,0.588	-0.018
0.087,0.025,0.063,0.058,0.087,0.04	0.044,0.102,0.083,0.08,0.075,0.094	-0.02
0.026,0.026,0.024,0.011,0.025,0.02	0.015,0.045,0.011,0.015,0.004,0.0	0.007
1.0,1.0,0.907,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.015
0.0,0.497,NA,1.0,1.0,0.747	NA,NA,0.0,NA,1.0,NA	0.149
0.099,0.176,0.24,0.212,0.246,0.06	0.141,0.245,0.233,0.099,0.191,0.077	0.008
0.406,0.545,0.227,1.0,0.406,0.755	0.0,1.0,1.0,0.089,0.353,0.0	0.149
0.127,0.0,0.0,0.046,0.097,0.0	0.392,0.293,0.629,0.446,0.571,0.547	-0.435
0.007,0.004,0.012,0.003,0.006,0.005	0.008,0.011,0.0,0.008,0.003,0.0	0.001
0.005,0.005,0.011,0.003,0.005,0.003	0.006,0.012,0.001,0.009,0.003,0.001	0.0
0.388,1.0,1.0,1.0,1.0,0.297	0.388,1.0,1.0,0.76,1.0,1.0	-0.077
0.953,1.0,0.983,0.978,0.931,0.984	0.947,0.788,0.956,0.864,0.966,1.0	0.051
0.008,0.009,0.006,0.008,0.01,0.007	0.012,0.012,0.016,0.018,0.026,0.013	-0.008
0.964,0.927,0.93,0.904,0.891,0.932	0.962,1.0,0.964,0.979,0.964,1.0	-0.053
1.0,1.0,1.0,1.0,1.0,1.0	0.989,1.0,1.0,1.0,1.0,1.0	0.002
0.941,0.909,0.894,0.913,0.906,0.898	0.98,0.96,0.922,0.979,0.946,0.951	-0.046
0.277,1.0,0.434,1.0,0.434,0.204	1.0,0.0,0.606,1.0,1.0,0.277	-0.089
0.023,0.023,0.028,0.02,0.027,0.032	0.022,0.04,0.035,0.031,0.038,0.02	-0.006
0.945,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
0.189,0.433,0.318,0.326,0.277,0.28	0.366,0.399,0.482,0.444,0.507,0.437	-0.135
0.0,0.251,0.0,0.229,0.338,0.0	0.472,0.373,1.0,0.766,1.0,0.0	-0.466
0.614,0.59,0.644,0.58,0.624,0.492	0.832,0.737,0.717,0.837,0.759,0.785	-0.187
0.042,0.059,0.06,0.055,0.052,0.04	0.031,0.053,0.089,0.071,0.073,0.055	-0.011
1.0,0.464,0.224,0.743,1.0,0.698	0.302,0.366,0.503,0.536,0.161,NA	0.315
0.013,0.015,0.029,0.029,0.02,0.008	0.01,0.02,0.047,0.033,0.019,0.045	-0.01
0.787,0.841,0.815,0.788,0.916,0.832	0.819,0.758,0.793,0.908,0.821,0.891	-0.002
1.0,0.925,1.0,1.0,0.965,1.0	1.0,0.922,1.0,1.0,1.0,1.0	-0.005
1.0,0.808,1.0,1.0,0.822,1.0	1.0,0.771,1.0,1.0,1.0,1.0	-0.023
0.885,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.79	0.016
0.916,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.863	0.009
0.378,0.507,0.408,0.441,0.4,0.449	0.521,0.36,0.43,0.327,0.519,0.476	-0.008
1.0,1.0,1.0,1.0,1.0,0.981	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
0.909,0.897,1.0,0.81,0.816,0.913	0.793,0.777,0.855,0.763,0.74,0.937	0.08
0.422,0.594,1.0,0.218,0.299,0.109	0.442,0.268,0.565,0.457,0.422,0.773	-0.048
0.066,0.133,0.055,0.059,0.085,0.011	0.166,0.092,0.175,0.202,0.198,0.181	-0.101
0.12,0.05,0.055,0.055,0.057,0.0	0.0,0.0,0.093,0.076,0.0,0.0	0.028
0.688,0.569,1.0,0.469,0.181,0.507	0.0,0.638,0.306,0.726,0.128,0.469	0.191
1.0,1.0,1.0,1.0,0.966,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
0.318,0.237,0.237,0.21,0.145,0.383	0.0,0.0,0.0,0.0,0.0,0.0	0.255
0.07,0.044,0.119,0.065,0.124,0.066	0.021,0.067,0.09,0.116,0.123,0.093	-0.004
0.35,0.298,0.255,0.369,0.376,0.414	0.09,0.02,0.042,0.055,0.052,0.092	0.285
1.0,0.898,1.0,1.0,1.0,1.0	1.0,1.0,0.705,1.0,1.0,1.0	0.032
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.856,1.0,1.0,1.0	0.024
1.0,0.916,0.876,0.86,0.966,0.914	0.941,0.959,0.715,0.899,1.0,1.0	0.003
0.0,NA,NA,0.0,NA,1.0	1.0,0.747,1.0,0.747,1.0,1.0	-0.582
1.0,1.0,1.0,1.0,1.0,1.0	0.979,0.981,0.892,0.981,0.946,0.962	0.043
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.956,1.0,1.0	0.007
0.013,0.022,0.027,0.081,0.018,0.034	0.0,0.067,0.125,0.032,0.023,0.0	-0.009
0.167,0.029,0.211,0.136,0.039,0.316	0.05,0.0,0.0,0.211,0.037,0.063	0.09
0.171,0.236,0.216,0.208,0.199,0.187	0.493,0.494,0.48,0.48,0.485,0.429	-0.274
0.0,0.0,0.0,0.0,0.005,0.003	0.0,0.0,0.004,0.0,0.0,0.0	0.001
0.233,0.27,0.304,0.259,0.294,0.339	0.407,0.431,0.464,0.404,0.364,0.318	-0.115
0.917,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.904,0.924,1.0	0.015
0.015,0.009,0.009,0.0,0.012,0.01	0.009,0.017,0.01,0.013,0.021,0.006	-0.004
0.081,0.098,0.075,0.133,0.073,0.15	0.203,0.326,0.239,0.31,0.268,0.311	-0.174
1.0,1.0,0.949,1.0,0.97,0.978	1.0,0.914,0.966,1.0,0.96,1.0	0.009
1.0,0.957,0.861,1.0,0.966,1.0	1.0,0.954,1.0,0.912,1.0,1.0	-0.014
0.0,0.011,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.002
0.075,0.036,0.065,0.0,0.173,0.024	0.065,0.047,0.0,0.024,0.133,0.196	-0.015
0.229,0.215,0.233,0.364,0.263,0.197	0.265,0.262,0.363,0.359,0.219,0.266	-0.039
0.921,0.932,0.975,0.98,0.935,0.953	0.958,0.938,0.945,0.927,0.972,0.966	-0.002
0.523,0.624,0.814,0.886,0.663,0.736	0.599,0.642,0.687,0.626,0.827,0.642	0.037
0.0,0.0,0.0,0.0,0.013,0.022	0.0,0.04,0.013,0.011,0.013,0.0	-0.007
0.325,0.243,NA,0.49,0.0,NA	0.0,0.0,NA,0.0,0.0,0.0	0.265
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.906,1.0,1.0,1.0,1.0	0.016
0.858,0.891,0.919,0.903,0.915,0.872	0.977,0.97,1.0,0.96,0.948,1.0	-0.083
0.506,0.645,0.572,0.572,0.55,0.504	0.862,0.885,0.902,0.878,0.911,0.951	-0.34
0.982,0.951,0.969,0.972,0.93,0.961	0.98,1.0,0.984,0.941,0.987,0.845	0.005
0.899,0.95,0.927,0.942,0.891,0.944	0.883,0.84,0.842,0.897,0.845,0.901	0.058
0.151,0.204,0.434,0.204,0.299,0.215	0.506,1.0,0.642,0.354,0.804,0.506	-0.384
0.0,0.255,0.056,0.141,0.033,0.0	0.049,0.076,0.34,0.236,0.292,0.093	-0.1
1.0,0.814,0.687,0.906,0.68,0.814	1.0,1.0,1.0,1.0,0.906,1.0	-0.167
0.07,0.071,0.076,0.061,0.063,0.064	0.039,0.014,0.022,0.046,0.052,0.01	0.037
0.068,0.062,0.053,0.051,0.057,0.043	0.031,0.018,0.026,0.04,0.032,0.011	0.029
0.802,0.78,0.366,0.876,0.78,0.82	0.702,1.0,0.858,0.682,0.932,0.729	-0.08
1.0,1.0,1.0,1.0,1.0,1.0	0.975,1.0,1.0,1.0,1.0,1.0	0.004
0.879,0.773,0.71,0.839,0.783,0.726	0.877,0.645,1.0,0.771,0.944,0.73	-0.043
0.682,0.53,0.335,0.538,0.458,0.385	0.212,0.349,1.0,0.472,0.861,0.446	-0.069
0.113,0.104,0.042,0.037,0.11,0.131	0.032,0.065,0.258,0.057,0.061,0.06	0.001
0.997,0.995,1.0,1.0,0.991,1.0	1.0,0.998,1.0,0.998,0.998,1.0	-0.002
0.875,0.9,0.893,0.859,0.891,0.895	0.71,0.7,0.709,0.675,0.717,0.741	0.177
0.455,0.408,0.477,0.505,0.495,0.44	0.49,0.451,0.468,0.401,0.458,0.457	0.009
1.0,1.0,1.0,0.999,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
0.999,0.999,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
0.504,0.594,0.492,0.637,0.583,0.343	0.728,0.641,0.691,0.63,0.732,0.82	-0.181
0.754,0.699,0.76,0.818,0.745,0.754	0.77,0.746,0.769,0.894,0.738,0.883	-0.045
1.0,0.896,0.906,0.901,0.936,0.937	0.881,1.0,1.0,1.0,1.0,1.0	-0.051
1.0,0.94,0.891,1.0,0.931,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.04
0.076,0.081,0.11,0.095,0.107,0.078	0.104,0.069,0.073,0.091,0.085,0.131	-0.001
0.049,0.03,0.051,0.065,0.077,0.041	0.056,0.052,0.03,0.073,0.034,0.124	-0.009
0.599,0.476,0.505,0.495,0.533,0.463	0.335,0.572,0.393,0.37,0.212,0.779	0.068
0.698,0.577,0.832,0.748,0.678,0.776	0.69,0.382,0.553,0.767,0.598,0.0	0.22
0.262,0.3,0.29,0.199,0.33,0.267	0.627,0.541,0.357,0.704,0.2,0.304	-0.181
0.83,0.949,1.0,0.942,0.899,0.947	0.973,0.934,0.735,0.907,0.864,0.798	0.059
0.923,1.0,1.0,1.0,0.893,1.0	1.0,1.0,1.0,1.0,1.0,0.886	-0.012
0.001,0.004,0.004,0.005,0.001,0.0	0.0,0.004,0.002,0.003,0.003,0.0	0.001
NA,NA,0.0,NA,NA,NA	NA,1.0,1.0,NA,0.0,NA	-0.667
0.009,0.007,0.003,0.0,0.0,0.006	0.014,0.006,0.0,0.015,0.0,0.009	-0.003
1.0,1.0,1.0,1.0,1.0,1.0	0.978,1.0,1.0,1.0,1.0,1.0	0.004
0.017,0.011,0.0,0.004,0.008,0.0	0.004,0.016,0.013,0.02,0.019,0.0	-0.005
0.241,0.336,0.394,0.151,0.25,0.411	0.268,0.432,0.237,0.307,0.247,0.307	-0.003
0.082,0.046,0.047,0.037,0.038,0.027	0.076,0.04,0.034,0.047,0.046,0.0	0.006
0.237,0.112,0.196,0.122,0.226,0.163	0.31,0.327,0.245,0.258,0.158,0.0	-0.04
